dmc_dB sigma2
-2.559498772554383095e+01 1.169066446555544351e-03
-2.531860581599609361e+01 1.245883364295008152e-03
-2.504222390644835983e+01 1.327747761472768519e-03
-2.476584199690062249e+01 1.414991297434575876e-03
-2.448946008735287450e+01 1.507967424170009044e-03
-2.421307817780513716e+01 1.607052818261640176e-03
-2.393669626825739982e+01 1.712648906924606152e-03
-2.366031435870966249e+01 1.825183494319044218e-03
-2.338393244916192160e+01 1.945112494724131162e-03
-2.310755053961418426e+01 2.072921779595371904e-03
-2.283116863006644337e+01 2.209129145988172720e-03
-2.255478672051871314e+01 2.354286414322417659e-03
-2.227840481097097225e+01 2.508981663986783062e-03
-2.200202290142322425e+01 2.673841615839949500e-03
-2.172564099187549402e+01 2.849534171260984482e-03
-2.144925908232774958e+01 3.036771118035460487e-03
-2.117287717278001580e+01 3.236311014039674767e-03
-2.089649526323227491e+01 3.448962260405759751e-03
-2.062011335368453757e+01 3.675586376618059873e-03
-2.034373144413679668e+01 3.917101490809260511e-03
-2.006734953458905935e+01 4.174486059396594236e-03
-1.979096762504132201e+01 4.448782831127585241e-03
-1.951458571549358112e+01 4.741103071594973857e-03
-1.923820380594584023e+01 5.052631065335684915e-03
-1.896182189639810289e+01 5.384628913753371389e-03
-1.868543998685036556e+01 5.738441648302398251e-03
-1.840905807730262822e+01 6.115502679648502499e-03
-1.813267616775488733e+01 6.517339604882426730e-03
-1.785629425820714999e+01 6.945580396313452351e-03
-1.757991234865941266e+01 7.401959996915644276e-03
-1.730353043911167532e+01 7.888327349147112796e-03
-1.702714852956393088e+01 8.406652885618334445e-03
-1.675076662001619354e+01 8.959036511956623011e-03
-1.647438471046845621e+01 9.547716114208066110e-03
-1.619800280092072242e+01 1.017507662524298404e-02
-1.592162089137297798e+01 1.084365968689610799e-02
-1.564523898182523531e+01 1.155617394698566641e-02
-1.536885707227750153e+01 1.231550603292826118e-02
-1.509247516272975886e+01 1.312473224640712741e-02
-1.481609325318202508e+01 1.398713102647238665e-02
-1.453971134363428241e+01 1.490619623156601466e-02
-1.426332943408654863e+01 1.588565129428052766e-02
-1.398694752453880596e+01 1.692946430619780840e-02
-1.371056561499107218e+01 1.804186409392071616e-02
-1.343418370544332952e+01 1.922735735142776237e-02
-1.315780179589558685e+01 2.049074689815850309e-02
-1.288141988634785307e+01 2.183715113680004261e-02
-1.260503797680011040e+01 2.327202478960412046e-02
-1.232865606725237662e+01 2.480118099724386987e-02
-1.205227415770463395e+01 2.643081486974108163e-02
-1.177589224815690017e+01 2.816752858487498248e-02
-1.149951033860915750e+01 3.001835813575592232e-02
-1.122312842906142372e+01 3.199080183592547394e-02
-1.094674651951368105e+01 3.409285069746814667e-02
-1.067036460996593839e+01 3.633302080520448701e-02
-1.039398270041820460e+01 3.872038781812556923e-02
-1.011760079087046194e+01 4.126462373784479942e-02
-9.841218881322728151e+00 4.397603609302721400e-02
-9.564836971774985486e+00 4.686560969854709074e-02
-9.288455062227251702e+00 4.994505115855139843e-02
-9.012073152679509036e+00 5.322683629372809005e-02
-8.735691243131775252e+00 5.672426068491977919e-02
-8.459309333584032586e+00 6.045149353785447821e-02
